This function calculates N(6, 3, p).

Parameters: #simulations = 100.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.
0.18, 39.65, 6.90706, 85
0.19, 35.54, 6.10642, 85
0.2, 31.97, 4.50878, 85
0.21, 29.34, 4.94413, 85
0.22, 27.16, 4.53811, 85
0.23, 24.88, 3.86078, 85
0.24, 23.5, 3.6756, 85
0.25, 22.36, 4.01876, 85
0.26, 20.57, 3.48498, 85
0.27, 19.59, 2.92607, 85
0.28, 17.78, 2.46, 85
0.29, 16.99, 2.40622, 85
0.3, 16.69, 3.54597, 85
0.31, 15.28, 2.6536, 85
0.32, 14.51, 2.27374, 85
0.33, 14.12, 2.06049, 85
0.34, 13.78, 2.32628, 85

Processor time: 5.957.

p, N(p), SD, size.

0.05, 10.97, 7.1742, 90
0.06, 24.65, 57.8373, 90
0.07, 76.04, 122.577, 90
0.08, 131.2, 127.598, 90
0.09, 196.43, 74.0781, 90
0.1, 171.79, 41.0337, 90
0.11, 130.64, 22.8432, 90
0.12, 99.54, 18.6094, 90
0.13, 82.62, 16.4698, 90
0.14, 66.66, 10.4644, 90
0.15, 58.79, 9.22095, 90
0.16, 50.86, 8.38692, 90
0.17, 44.4, 6.57419, 90
0.18, 40.32, 5.13202, 90
0.19, 36.17, 7.10641, 90
0.2, 32.5, 5.04876, 90
0.21, 30.56, 5.44118, 90
0.22, 27.68, 4.90893, 90
0.23, 25.68, 4.49862, 90
0.24, 23.38, 3.50651, 90
0.25, 22.07, 3.17255, 90
0.26, 21.28, 3.24986, 90
0.27, 19.35, 3.03109, 90
0.28, 18.43, 2.67303, 90
0.29, 17.34, 2.73211, 90
0.3, 16.38, 2.67125, 90
0.31, 15.71, 3.15371, 90
0.32, 15.11, 2.57253, 90
0.33, 14.63, 2.89363, 90
0.34, 13.56, 2.41379, 90

Processor time: 6.811.

p, N(p), SD, size.

0.05, 10.24, 5.34625, 95
0.06, 20.93, 35.5543, 95
0.07, 70.05, 116.847, 95
0.08, 182.41, 138.722, 95
0.09, 225.24, 65.2357, 95
0.1, 182.19, 41.8518, 95
0.11, 129.96, 22.5805, 95
0.12, 102.91, 19.4227, 95
0.13, 81.64, 13.7982, 95
0.14, 70.94, 12.3425, 95
0.15, 57.15, 8.43845, 95
0.16, 51.57, 8.22466, 95
0.17, 44.66, 8.22341, 95
0.18, 40.36, 6.01418, 95
