This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.
0.137, 78.862, 8.36642, 420
0.138, 78.278, 8.76372, 420
0.139, 76.891, 8.33517, 420
0.14, 75.792, 8.44859, 420
0.141, 74.358, 8.44167, 420
0.142, 73.168, 7.73381, 420
0.143, 71.842, 8.0148, 420
0.144, 70.783, 7.79499, 420
0.145, 69.65, 7.80919, 420
0.146, 68.648, 7.605, 420
0.147, 67.869, 7.43571, 420
0.148, 66.369, 7.56273, 420
0.149, 65.464, 6.83101, 420
0, 0, 0, 425
0.001, 0.006, 0.10938, 425
0.002, 0.047, 0.284238, 425
0.003, 0.172, 0.573076, 425
0.004, 0.365, 0.774451, 425
0.005, 0.655, 0.965389, 425
0.006, 0.99, 1.07606, 425
0.007, 1.379, 1.22203, 425
0.008, 1.776, 1.20575, 425
0.009, 2.069, 1.16544, 425
0.01, 2.441, 1.39303, 425
0.011, 2.706, 1.27889, 425
0.012, 2.995, 1.51756, 425
0.013, 3.353, 1.66204, 425
0.014, 3.645, 1.71142, 425
0.015, 4.076, 1.78668, 425
0.016, 4.497, 1.88095, 425
0.017, 4.916, 2.06953, 425
0.018, 5.197, 2.00454, 425
0.019, 5.486, 2.02529, 425
0.02, 5.88, 2.01732, 425
0.021, 6.284, 2.12729, 425
0.022, 6.63, 2.43662, 425
0.023, 7.082, 2.91226, 425
0.024, 7.461, 2.9111, 425
0.025, 7.913, 2.90679, 425
0.026, 8.247, 3.11769, 425
0.027, 8.715, 3.33943, 425
0.028, 9.409, 3.67964, 425
0.029, 9.895, 3.5819, 425
0.03, 10.462, 4.11395, 425
0.031, 10.955, 4.09817, 425
0.032, 11.67, 4.373, 425
0.033, 12.02, 4.19042, 425
0.034, 12.594, 4.92373, 425
0.035, 13.349, 4.91378, 425
0.036, 14.363, 5.39196, 425
0.037, 14.655, 5.69895, 425
0.038, 15.856, 6.67947, 425
0.039, 16.224, 6.35435, 425
0.04, 17.232, 6.6912, 425
0.041, 18.799, 7.7522, 425
0.042, 19.388, 8.16134, 425
0.043, 22.206, 57.354, 425
0.044, 21.652, 9.18983, 425
0.045, 23.035, 12.7475, 425
0.046, 24.314, 11.6518, 425
0.047, 34.96, 138.223, 425
0.048, 27.812, 16.0304, 425
0.049, 33.299, 84.191, 425
0.05, 42.282, 140.042, 425
0.051, 54.111, 186.42, 425
0.052, 57.834, 184.03, 425
0.053, 83.39, 279.744, 425
0.054, 97.9, 308.704, 425
0.055, 102.172, 305.174, 425
0.056, 187.241, 459.749, 425
0.057, 207.029, 474.766, 425
0.058, 259.792, 519.484, 425
0.059, 329.77, 588.97, 425
0.06, 397.763, 624.859, 425
0.061, 532.952, 679.313, 425
0.062, 616.157, 692.625, 425
0.063, 747.186, 683.297, 425
0.064, 861.21, 659.269, 425
0.065, 900.157, 610.196, 425
0.066, 988.701, 538.967, 425
0.067, 1014.99, 473.529, 425
